Order ID,Name,Age,Email,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Country,First Visit,Gender,Revenue,Units Sold
176558,Akash,20,akash@gmail.com,USB-C Charging Cable,2,11.95,04-19-2019 8:46,"917 1st St, Dallas, TX 75001",CANADA,yes,MALE,"5,00,000",2
176559,kavya,25,kavya123@gmail.com,Bose SoundSport Headphones,1,99.99,04-07-2019 22:30,"682 Chestnut St, Boston, MA 02215",AFRICA,yes,FEMALE,"6,00,000",1
176560,Hrithik,25,hrithik234@gmil.com,Google Phone,1,600.0,04-12-2019 14:38,"669 Spruce St, Los Angeles, CA 90001",USA,yes,MALE,"3,00,000",1
176560,Ishaan,30,ishaan@gmail.com,Wired Headphones,1,11.99,04-12-2019 14:38,"669 Spruce St, Los Angeles, CA 90001",UK,yes,FEMALE,"4,00,000",1
176561,Divya,20,divya789@gmail.com,Wired Headphones,1,11.99,04-30-2019 9:27,"333 8th St, Los Angeles, CA 90001",SOUTH KOREA,yes,MALE,"6,00,000",1
176562,Devanshi,28,devanshi@gmail.com,USB-C Charging Cable,1,11.95,04-29-2019 13:03,"381 Wilson St, San Francisco, CA 94016",AUSTRALIA,yes,FEMALE,"6,00,000",1
176563,Adavit,15,adavit58@gmail.com,Bose SoundSport Headphones,1,99.99,04-02-2019 07:46,"668 Center St, Seattle, WA 98101",GREENLAND,yes,MALE,"5,00,000",1
176564,Avni,21,aviking@gmail.com,USB-C Charging Cable,1,11.95,04-12-2019 10:58,"790 Ridge St, Atlanta, GA 30301",USA,yes,MALE,"3,00,000",1
176565,karthik,23,karthik4567@gmail.com,Macbook Pro Laptop,1,1700.0,04-24-2019 10:38,"915 Willow St, San Francisco, CA 94016",UK,yes,MALE,"6,00,000",1
176566,Dinesh,24,dhinesh1234567@gmail.com,Wired Headphones,1,11.99,04-08-2019 14:05,"83 7th St, Boston, MA 02215",JAPAN,yes,FEMALE,"5,00,000",1
176567,Olivia,16,olivia12345@gmail.com,Google Phone,1,600.0,04-18-2019 17:18,"444 7th St, Los Angeles, CA 90001",USA,no,FEMALE,"4,00,000",1
176568,Amulya,25,amuluacr567@gmail.com,Lightning Charging Cable,2,14.95,04-15-2019 12:18,"438 Elm St, Seattle, WA 98101",UK,yes,FEMALE,"4,00,000",2
176569,kavipriya,18,kavipriya@gmail.com,27in 4K Gaming Monitor,1,389.99,04-16-2019 19:23,"657 Hill St, Dallas, TX 75001",UK,yes,MALE,"7,00,000",1
